Model:	LI-7810
SN:	TG10-01524
Software Version:	2.3.5
Timestamp:	2024-05-23 11:00:00
Timezone:	US/Mountain
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1716483662	392524003	4788	8	""	2024-05-23	11:01:02	5415.7241	454.06424	2106.5654	39.346	55.0003	26.9136	51.1432	0.00200768	11.0742	54.5005	-63.75	0.26661	24.0954	241
DATA	1716483663	392524003	4792	8	""	2024-05-23	11:01:03	5409.9971	451.61362	2105.2361	39.3464	55.0003	26.9127	51.1432	0.00202365	11.0736	54.5005	51.5	0.26661	24.095	138
DATA	1716483664	392524003	4796	8	""	2024-05-23	11:01:04	5410.5918	452.0098	2104.6128	39.3464	55.0003	26.9136	51.1432	0.00202499	11.0744	54.5005	-68.75	0.26661	24.0954	  0
DATA	1716483665	392524003	4800	8	""	2024-05-23	11:01:05	5414.2651	449.80307	2104.1096	39.346	55.0003	26.914	51.1432	0.00204118	11.0728	54.5005	7	0.26661	24.095	130
DATA	1716483666	392524003	4804	8	""	2024-05-23	11:01:06	5409.9922	451.29184	2103.1943	39.3468	55.0003	26.9132	51.1432	0.00205065	11.0729	54.5005	35.5	0.26661	24.0974	201
DATA	1716483667	392524003	4808	8	""	2024-05-23	11:01:07	5410.6533	447.23364	2102.3291	39.3452	55.0003	26.9148	51.1433	0.00203215	11.0726	54.5005	-19.5	0.26661	24.0966	231
DATA	1716483668	392524003	4812	8	""	2024-05-23	11:01:08	5409.2769	451.21945	2103.3147	39.3464	55.0003	26.914	51.1432	0.00199421	11.0739	54.5005	-24.25	0.26661	24.0962	247
DATA	1716483669	392179012	4816	8	""	2024-05-23	11:01:09	5407.6982	449.43893	2102.7544	39.3456	55.0003	26.9123	51.1432	0.00200154	11.0733	54.5005	-4.75	0.26661	24.0958	  9
DATA	1716483670	392179012	4820	8	""	2024-05-23	11:01:10	5414.8628	449.30161	2103.8457	39.346	55.0003	26.9123	51.1432	0.0020288	11.0742	54.5005	23.75	0.26661	24.0958	141
DATA	1716483671	392179012	4824	8	""	2024-05-23	11:01:11	5412.9917	453.38763	2104.8496	39.346	55.0003	26.9115	51.1432	0.00197507	11.0713	54.5005	-52.75	0.26661	24.0958	  9
DATA	1716483672	392179012	4828	8	""	2024-05-23	11:01:12	5412.7671	450.55902	2105.5168	39.346	55.0003	26.9123	51.1432	0.00202478	11.0748	54.5005	93.25	0.26661	24.0958	207
DATA	1716483673	392179012	4832	8	""	2024-05-23	11:01:13	5419.0918	450.77167	2106.0515	39.346	55.0003	26.9111	51.1432	0.00198918	11.0732	54.5005	-86.75	0.26661	24.0962	  1
DATA	1716483674	392179012	4836	8	""	2024-05-23	11:01:14	5432.0205	449.60422	2103.751	39.346	55.0003	26.9095	51.1432	0.00202373	11.071	54.5005	-22.5	0.26661	24.0962	 67
DATA	1716483675	392179012	4840	8	""	2024-05-23	11:01:15	5427.5762	444.41675	2101.8623	39.3452	55.0003	26.9086	51.1432	0.00201316	11.0734	54.5005	-34.75	0.26661	24.0962	 38
