Model:	LI-7810
SN:	TG10-01524
Software Version:	2.3.5
Timestamp:	2024-04-04 08:03:04
Timezone:	US/Mountain
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1712239507	905047893	505	256	""	2024-04-04	08:05:07	nan	nan	nan	79.0231	22.067	79.0004	50.8758	0	0	22.1217	-16000	0	23.8863	 94
DATA	1712239508	905047893	509	256	""	2024-04-04	08:05:08	nan	nan	nan	79.0247	22.084	78.9996	50.8758	0	0	22.1424	-16000	0	23.8867	138
DATA	1712239509	904746055	513	256	""	2024-04-04	08:05:09	nan	nan	nan	79.0235	22.0998	78.9996	50.8756	0	0	22.1617	-16000	0	23.8875	190
DATA	1712239510	904746055	517	256	""	2024-04-04	08:05:10	nan	nan	nan	79.0235	22.1168	78.9996	50.8758	0	0	22.1825	-16000	0	23.8875	171
DATA	1712239511	904746055	521	256	""	2024-04-04	08:05:11	nan	nan	nan	79.0218	22.1338	78.998	50.8756	0	0	22.2046	-16000	0	23.8883	106
DATA	1712239512	904746055	525	256	""	2024-04-04	08:05:12	nan	nan	nan	79.0214	22.1512	78.9988	50.8758	0	0	22.2258	-16000	0	23.8875	166
DATA	1712239513	904746055	529	256	""	2024-04-04	08:05:13	nan	nan	nan	79.0218	22.1682	78.9984	50.8758	0	0	22.2466	-16000	0	23.8875	181
DATA	1712239514	904746055	533	256	""	2024-04-04	08:05:14	nan	nan	nan	79.0218	22.1853	78.9988	50.8756	0	0	22.2674	-16000	0	23.8875	181
DATA	1712239515	904746055	537	256	""	2024-04-04	08:05:15	nan	nan	nan	79.0214	22.2032	78.9984	50.8758	0	0	22.2884	-16000	0	23.8875	174
DATA	1712239516	904433965	541	256	""	2024-04-04	08:05:16	nan	nan	nan	79.0227	22.2212	78.9988	50.8758	0	0	22.3089	-16000	0	23.8875	180
DATA	1712239517	904433965	545	256	""	2024-04-04	08:05:17	nan	nan	nan	79.0222	22.2368	78.9996	50.8758	0	0	22.3283	-16000	0	23.8867	189
DATA	1712239518	904433965	549	256	""	2024-04-04	08:05:18	nan	nan	nan	79.0218	22.2538	78.9992	50.8756	0	0	22.3489	-16000	0	23.8863	197
DATA	1712239519	904433965	553	256	""	2024-04-04	08:05:19	nan	nan	nan	79.0222	22.2709	79	50.8756	0	0	22.3696	-16000	0	23.8867	183
DATA	1712239520	904433965	557	256	""	2024-04-04	08:05:20	nan	nan	nan	79.0227	22.2879	79.0004	50.8758	0	0	22.3911	-16000	0	23.8871	157
DATA	1712239521	904433965	561	256	""	2024-04-04	08:05:21	nan	nan	nan	79.0227	22.3051	79.0004	50.8758	0	0	22.4118	-16000	0	23.8863	138
DATA	1712239522	904433965	565	256	""	2024-04-04	08:05:22	nan	nan	nan	79.0227	22.3218	79.0004	50.8758	0	0	22.4324	-16000	0	23.8871	147
DATA	1712239523	904433965	569	256	""	2024-04-04	08:05:23	nan	nan	nan	79.0227	22.3392	79	50.8758	0	0	22.4532	-16000	0	23.8867	176
DATA	1712239524	904134988	573	256	""	2024-04-04	08:05:24	nan	nan	nan	79.0227	22.3563	79.0004	50.8756	0	0	22.4738	-16000	0	23.8871	163
DATA	1712239525	904134988	577	256	""	2024-04-04	08:05:25	nan	nan	nan	79.0231	22.3734	79.0009	50.8758	0	0	22.4946	-16000	0	23.8863	173
DATA	1712239526	904134988	581	256	""	2024-04-04	08:05:26	nan	nan	nan	79.0231	22.3897	79.0004	50.8758	0	0	22.5134	-16000	0	23.8879	172
DATA	1712239527	904134988	585	256	""	2024-04-04	08:05:27	nan	nan	nan	79.0222	22.4069	79.0021	50.8758	0	0	22.5342	-16000	0	23.8879	170
DATA	1712239528	904134988	589	256	""	2024-04-04	08:05:28	nan	nan	nan	79.0235	22.4241	79.0013	50.8758	0	0	22.5551	-16000	0	23.8879	175
DATA	1712239529	904134988	593	256	""	2024-04-04	08:05:29	nan	nan	nan	79.0227	22.441	79.0013	50.8758	0	0	22.5764	-16000	0	23.8875	125
DATA	1712239530	904134988	597	256	""	2024-04-04	08:05:30	nan	nan	nan	79.0227	22.4581	79.0017	50.8758	0	0	22.5967	-16000	0	23.8883	178
DATA	1712239531	903820991	601	256	""	2024-04-04	08:05:31	nan	nan	nan	79.0239	22.475	79.0021	50.8758	0	0	22.6175	-16000	0	23.8879	106
DATA	1712239532	903820991	605	256	""	2024-04-04	08:05:32	nan	nan	nan	79.0235	22.4923	79.0025	50.8756	0	0	22.638	-16000	0	23.8879	110
DATA	1712239533	903820991	609	256	""	2024-04-04	08:05:33	nan	nan	nan	79.0235	22.5094	79.0029	50.8758	0	0	22.6586	-16000	0	23.8879	178
DATA	1712239534	903820991	613	256	""	2024-04-04	08:05:34	nan	nan	nan	79.0235	22.5249	79.0037	50.8758	0	0	22.6772	-16000	0	23.8871	165
DATA	1712239535	903820991	617	256	""	2024-04-04	08:05:35	nan	nan	nan	79.0239	22.5418	79.0029	50.8758	0	0	22.6979	-16000	0	23.8871	183
DATA	1712239536	903820991	621	256	""	2024-04-04	08:05:36	nan	nan	nan	79.0235	22.5596	79.0033	50.8758	0	0	22.7185	-16000	0	23.8875	172
DATA	1712239537	903820991	625	256	""	2024-04-04	08:05:37	nan	nan	nan	79.0247	22.5771	79.0037	50.8758	0	0	22.7395	-16000	0	23.8875	183
