T,C
23-May-2024 11:05:17,368.66214
23-May-2024 11:05:18,367.10617
23-May-2024 11:05:19,372.49963
23-May-2024 11:05:20,367.55191
23-May-2024 11:05:21,365.52426
23-May-2024 11:05:22,368.61459
23-May-2024 11:05:23,369.1427
23-May-2024 11:05:24,366.09409
23-May-2024 11:05:25,374.5199
23-May-2024 11:05:26,381.83954
23-May-2024 11:05:27,380.65848
23-May-2024 11:05:28,386.51965
23-May-2024 11:05:29,381.58704
23-May-2024 11:05:30,383.08221
23-May-2024 11:05:31,381.90439
23-May-2024 11:05:32,384.25781
23-May-2024 11:05:33,386.17761
23-May-2024 11:05:34,381.76068
23-May-2024 11:05:35,384.05096
23-May-2024 11:05:36,385.37311
23-May-2024 11:05:37,384.97421
23-May-2024 11:05:38,384.61566
23-May-2024 11:05:39,385.90875
23-May-2024 11:05:40,392.35474
23-May-2024 11:05:41,378.02335
23-May-2024 11:05:42,369.16708
23-May-2024 11:05:43,366.67587
23-May-2024 11:05:44,368.8118
23-May-2024 11:05:45,370.54831
23-May-2024 11:05:46,371.50015
23-May-2024 11:05:47,368.03934
23-May-2024 11:05:48,370.15472
23-May-2024 11:05:49,364.06967
23-May-2024 11:05:50,365.26456
23-May-2024 11:05:51,365.8295
23-May-2024 11:05:52,364.7547
23-May-2024 11:05:53,364.90073
23-May-2024 11:05:54,366.82788
23-May-2024 11:05:55,369.26483
23-May-2024 11:05:56,365.63385
23-May-2024 11:05:57,370.87787
23-May-2024 11:05:58,368.19376
23-May-2024 11:05:59,381.83472
23-May-2024 11:06:00,428.98105
23-May-2024 11:06:01,445.13251
23-May-2024 11:06:02,440.74301
23-May-2024 11:06:03,437.13443
23-May-2024 11:06:04,441.78357
23-May-2024 11:06:05,442.89981
23-May-2024 11:06:06,443.50607
23-May-2024 11:06:07,441.45728
23-May-2024 11:06:08,444.58505
23-May-2024 11:06:09,443.60645
23-May-2024 11:06:10,438.91382
23-May-2024 11:06:11,446.43829
23-May-2024 11:06:12,441.68271
23-May-2024 11:06:13,445.24121
23-May-2024 11:06:14,442.13834
23-May-2024 11:06:15,441.40417
23-May-2024 11:06:16,438.45679
23-May-2024 11:06:17,440.47223
23-May-2024 11:06:18,443.74146
23-May-2024 11:06:19,441.60776
23-May-2024 11:06:20,443.86096
23-May-2024 11:06:21,441.04599
23-May-2024 11:06:22,437.64749
23-May-2024 11:06:23,440.36047
23-May-2024 11:06:24,442.27914
23-May-2024 11:06:25,438.03049
23-May-2024 11:06:26,440.3042
23-May-2024 11:06:27,444.26187
23-May-2024 11:06:28,441.03583
23-May-2024 11:06:29,441.34967
23-May-2024 11:06:30,440.34409
23-May-2024 11:06:31,442.09628
23-May-2024 11:06:32,441.23227
23-May-2024 11:06:33,441.49518
23-May-2024 11:06:34,440.89124
23-May-2024 11:06:35,440.90744
23-May-2024 11:06:36,443.57446
23-May-2024 11:06:37,439.41876
23-May-2024 11:06:38,443.46133
23-May-2024 11:06:39,441.83817
23-May-2024 11:06:40,447.79404
23-May-2024 11:06:41,452.40216
23-May-2024 11:06:42,450.14395
23-May-2024 11:06:43,457.21008
23-May-2024 11:06:44,493.88986
23-May-2024 11:06:45,759.9552
23-May-2024 11:06:46,951.43774
23-May-2024 11:06:47,583.88672
23-May-2024 11:06:48,454.63364
23-May-2024 11:06:49,449.96332
23-May-2024 11:06:50,452.89423
23-May-2024 11:06:51,448.60663
23-May-2024 11:06:52,447.46042
23-May-2024 11:06:53,445.86966
23-May-2024 11:06:54,452.46936
23-May-2024 11:06:55,459.96378
23-May-2024 11:06:56,459.62851
23-May-2024 11:06:57,458.44427
23-May-2024 11:06:58,451.09241
23-May-2024 11:06:59,453.02414
23-May-2024 11:07:00,451.50113
23-May-2024 11:07:01,453.8638
23-May-2024 11:07:02,454.35623
23-May-2024 11:07:03,460.86511
23-May-2024 11:07:04,462.32516
23-May-2024 11:07:05,456.94455
23-May-2024 11:07:06,457.7269
23-May-2024 11:07:07,463.61188
23-May-2024 11:07:08,456.47159
23-May-2024 11:07:09,451.66971
23-May-2024 11:07:10,468.89005
23-May-2024 11:07:11,472.55927
23-May-2024 11:07:12,471.4707
23-May-2024 11:07:13,467.58456
23-May-2024 11:07:14,459.97632
23-May-2024 11:07:15,462.92459
23-May-2024 11:07:16,460.17618
23-May-2024 11:07:17,462.30762
23-May-2024 11:07:18,462.7291
23-May-2024 11:07:19,462.28333
23-May-2024 11:07:20,463.03265
23-May-2024 11:07:21,464.74179
23-May-2024 11:07:22,462.08102
23-May-2024 11:07:23,459.9248
23-May-2024 11:07:24,459.24643
